date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup2,FunctionalGroup,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
7/1/20,2,B15-14,B15,2,53,49,12,6.5,lower,1,Typha angustifolia,NA,litter,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B15-14,B15,2,53,49,12,6.75,lower,1,Typha angustifolia,NA,litter,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B15-14,B15,2,53,49,12,7,lower,1,Typha angustifolia,NA,litter,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B15-14,B15,2,53,49,12,7.25,lower,1,Typha angustifolia,NA,litter,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B15-14,B15,2,53,49,12,7.5,lower,1,Typha angustifolia,NA,bare soil,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
7/1/20,2,B15-14,B15,2,53,49,12,7.75,lower,1,Typha angustifolia,NA,bare soil,Typha angustifolia,Perennial,Long-lived,Forb,Long-lived Forb,PF,Introduced,0,FACU,FACU,FACU-UPL
5/28/20,1,B14-25,B14,3,41,41,10,8,lower,1,Ambrosia trifida,NA,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B14-50,B14,5,18,18,4.25,3.75,lower,1,Ambrosia trifida,NA,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/29/20,1,B15-0,B15,1,36,36,8.75,5,middle,2,Ambrosia trifida,NA,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/29/20,1,B15-0,B15,1,36,36,8.75,5.75,middle,1,Ambrosia trifida,NA,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/29/20,1,B17-50,B17,5,26,26,6.25,4.5,upper,1,Ambrosia trifida,NA,bare soil,Ambrosia trifida,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
7/1/20,2,B14-50,B14,5,18,33,8,3.5,middle,2,Bidens,NA,bare soil,Bidens,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
7/1/20,2,B14-50,B14,5,18,33,8,3.75,middle,2,Bidens,NA,bare soil,Bidens,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,0.25,upper,1,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-0,B13,1,29,29,7,1,upper,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B14-0,B14,1,25,25,6,0,upper,2,Bromus tectorum,NA,litter,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B14-12.5,B14,2,36,36,8.75,0.5,upper,2,Bromus tectorum,NA,bare soil,Bromus tectorum,Annual,Short-lived,Graminoid,Short-lived Graminoid,PG,Introduced,0,UPL,UPL,FACU-UPL
7/1/20,2,B14-25,B14,3,41,51,12.5,6.75,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,4,FACU,UPL,FACU-UPL
7/1/20,2,B14-25,B14,3,41,51,12.5,7,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,4,FACU,UPL,FACU-UPL
7/1/20,2,B14-25,B14,3,41,51,12.5,7.25,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PF,Native,4,FACU,UPL,FACU-UPL
7/1/20,2,B14-36.5,B14,4,45,35,8.5,5.5,middle,1,Persicaria maculosa,NA,bare soil,Persicaria maculosa,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-35.5,B13,4,20,25,6,0.25,upper,1,Polygonum aviculare,NA,litter,Polygonum aviculare,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
7/1/20,2,B14-50,B14,5,18,33,8,4,middle,1,Polygonum aviculare,bare soil,bare soil,Polygonum aviculare,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B14-25,B14,3,41,41,10,4.25,middle,2,Sonchus oleraceus,NA,bare soil,Sonchus oleraceus,Annual,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-12.5,B10,2,28,28,6.75,0.75,upper,1,Arctium minus,NA,litter,Arctium minus,Biennial,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,0.75,upper,1,Arctium minus,NA,litter,Arctium minus,Biennial,Short-lived,Forb,Short-lived Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,2.5,middle,2,Chenopodium,NA,litter,Chenopodium,NA,NA,Forb,NA Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,3.5,middle,2,Chenopodium,NA,litter,Chenopodium,NA,NA,Forb,NA Forb,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,6.25,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,6.5,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,6.75,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,7,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,7.25,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,7.5,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,7.75,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,8,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,8.25,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,8.5,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,8.75,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
7/2/20,2,B18-25,B18,3,17,37,9,9,lower,0,NA,NA,NA,NA,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-0,B10,1,35,35,8.5,6.5,lower,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,1.25,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,1.5,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,7.5,lower,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,7.75,lower,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,8,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,8.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-0,B10,1,35,35,8.5,8.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-12.5,B10,2,28,28,6.75,2.5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-12.5,B10,2,28,28,6.75,2.75,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-12.5,B10,2,28,28,6.75,3.25,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,2.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,3,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,6,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,6.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-12.5,B10,2,28,29,7,6.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,2.5,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,3.5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,3.75,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,4,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,4.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,4.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,4.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,5.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,5.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,5.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,6,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,6.25,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,6.5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,6.75,lower,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,7,lower,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-25,B10,3,41,41,10,8.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,3,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,4.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,4.5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,4.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,5,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,5.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,5.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,5.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,6.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,7.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-25,B10,3,41,37,9,9,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,7,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,7.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,7.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,7.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,8,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,8.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,8.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,8.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,9,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-37.5,B10,4,26,39,9.5,9.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-50,B10,5,28,28,6.75,1.25,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-50,B10,5,28,28,6.75,1.5,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-50,B10,5,28,28,6.75,1.75,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-50,B10,5,28,28,6.75,2,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/27/20,1,B10-50,B10,5,28,28,6.75,2.25,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,2.25,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,2.5,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,3.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,6.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,7,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,7.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,7.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,7.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B10-50,B10,5,28,33,8,8,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-0,B13,1,29,29,7,3.25,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,1,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,2.5,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,2.75,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,3,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,5.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,5.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,5.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,6,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,6.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,6.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,6.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-0,B13,1,29,31,7.5,7,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-12.5,B13,2,17,17,4,0.75,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-12.5,B13,2,17,17,4,1,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-12.5,B13,2,17,17,4,1.25,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,1.5,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,4,middle,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,4.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,4.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,4.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,5.25,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,5.5,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-12.5,B13,2,17,28,6.75,5.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,1,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,1.25,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,1.5,upper,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,3.25,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,3.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
5/28/20,1,B13-25,B13,3,17,27,6.5,3.75,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-25,B13,3,17,23,5.5,1.5,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-25,B13,3,17,23,5.5,1.75,upper,2,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-25,B13,3,17,23,5.5,2,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-25,B13,3,17,23,5.5,3.5,middle,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
6/30/20,2,B13-25,B13,3,17,23,5.5,3.75,lower,1,NA,bare soil,bare soil,bare soil,NA,NA,NA,NA NA,PG,Introduced,0,UPL,UPL,FACU-UPL
